Date,smile,job
2026-04-06 12:35:10,CCC(=O)N1CC[C@H]([C@H]1C(=O)Nc2ccc3cc(ccc3c2)Br)O,4f6f7289
2026-04-06 12:35:27,CN(C)CCOc1ccc(cc1)C(=O)NC[C@@H]2COc3cccc(c3O2)c4cccc(n4)OC,4f6f7289
2026-04-06 12:37:40,CCC(=O)N1CCN(CC1)c2c3cc(c(cc3nc(n2)NCCC(=O)N(C)C)c4ccccc4F)Cl,4f6f7289
2026-04-06 13:11:27,c1ccc2c(c1)OC[C@H](O2)CNC(=O)c3ccco3,4f6f7289
2026-04-06 14:42:31,CC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)Nc2cc(c(cn2)Cl)c3cnn4c3CC(C4)(C)C,12f5e069
2026-04-08 15:40:15,c1ccc2c(c1)c(c[nH]2)Cc3[nH]c4ccc(cc4n3)NC(=O)[C@@H]5CCCN5,4f6f7289
2026-04-23 11:29:53,c1cc(cc(c1)C(=O)O)CSCc2ccc(cc2Cl)Cl,2e9130c8
2026-04-23 11:30:04,c1cc(cc(c1)C(=O)O)CSCc2ccc(cc2Cl)Cl,2e9130c8
2026-04-23 12:03:11,c1cc(ccc1COC[C@@H]2[C@H]([C@H]([C@@H](O2)n3c4c(c(ncn4)N)nc3NCc5ccc(c(c5)Cl)Cl)O)O)C#N,b2ba2abd
2026-04-23 15:47:44,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 15:48:56,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 15:50:48,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 17:38:44,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 17:38:56,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 17:46:53,c1ccc(c(c1)CNc2nc3c(ncnc3n2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)N)Cl,b2ba2abd
2026-04-23 17:56:32,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 17:57:51,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:05:38,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 19:05:48,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 19:08:46,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3NCc4cccc(c4)I)O)O,b2ba2abd
2026-04-23 19:14:28,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:15:53,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:48:02,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:48:04,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:48:06,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:48:07,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:48:07,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:48:08,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:48:09,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:49:01,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:49:02,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:49:02,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:49:02,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:49:02,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:49:27,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:50:13,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:50:14,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:50:14,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:50:15,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:50:15,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:50:15,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:50:16,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:50:58,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 19:50:59,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:03:14,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:04:04,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:07:38,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:20:04,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:21:12,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:21:58,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:24:19,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:25:01,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:27:44,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:31:34,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)O[P@@](=O)(O)SCC(=O)N)O)O)N,032917e1
2026-04-23 20:33:43,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:36:39,c1ccc(cc1)C#C[P+](c2ccccc2)(c3ccccc3)c4ccccc4,b2ba2abd
2026-04-23 20:36:58,c1cc(ccc1COC[C@@H]2[C@H]([C@H]([C@@H](O2)n3c4c(c(ncn4)N)nc3NCc5ccc(c(c5)Cl)Cl)O)O)C#N,b2ba2abd
2026-04-23 20:37:29,c1cc(ccc1COC[C@@H]2[C@H]([C@H]([C@@H](O2)n3c4c(c(ncn4)N)nc3NCc5ccc(c(c5)Cl)Cl)O)O)C#N,b2ba2abd
2026-04-23 20:37:39,c1cc(ccc1COC[C@@H]2[C@H]([C@H]([C@@H](O2)n3c4c(c(ncn4)N)nc3NCc5ccc(c(c5)Cl)Cl)O)O)C#N,b2ba2abd
2026-04-23 20:37:58,c1cc(ccc1COC[C@@H]2[C@H]([C@H]([C@@H](O2)n3c4c(c(ncn4)N)nc3NCc5ccc(c(c5)Cl)Cl)O)O)C#N,b2ba2abd
2026-04-23 20:41:40,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:41:51,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 20:41:56,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:06:31,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:06:35,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:06:36,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:06:37,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:06:37,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:07:03,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:07:04,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:07:04,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:07:04,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:07:35,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:07:35,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:11:12,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:11:44,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:14:05,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:29:30,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:41:01,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 21:54:34,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 22:40:29,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 23:41:17,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 23:52:31,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-23 23:53:56,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-27 12:26:06,Cn1cc(c2c1cccc2)CNCC3CCN(CC3)c4ncc(cn4)C(=O)NO,b2ba2abd
2026-04-28 14:06:01,c1cc2c(c(c1)N)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,b281996d
2026-04-29 02:27:52,c1ccc2c(c1)c(c[nH]2)CCCC(=O)O,c5ef7733
2026-04-29 18:14:08,c1cc2c(c(c1)N)C(=O)N(C2=O)[C@H]3CCC(=O)NC3=O,b281996d
2026-05-27 12:31:36,CNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@@H](C[N@](CC2CC2)S(=O)(=O)c3cccc(c3)OC)O,c2627132
2026-05-27 12:49:05,c1ccc(cc1)CCC[N@@](C[C@H]([C@H](Cc2ccccc2)NC(=O)c3cccc(c3)O)O)S(=O)(=O)c4ccc5c(c4)scn5,c2627132
